Book,Purpose,Author,Date,Setting
The Book of Genesis,"To trace the establishment of God’s plan to overcome sin through his chosen people, Israel","Moses, according to tradition",Records primeval events and events from the patriarchal period (ca. 2100–1700  BC ),"A variety of places in the Middle East, focusing heavily on the patriarchs during their time in Canaan and Egypt"
The Book of Exodus,To recount the deliverance of the Hebrews from Egypt and the establishment of their covenant and worship practices,"Moses, according to tradition",Records events that likely occurred in either 1526–1446  BC  or 1350–1270  BC,Begins with the Hebrews in slavery in Egypt and ends with the covenant people of God en route to the Promised Land
The Book of Leviticus,To demonstrate God’s holiness and point his people to lead holy lives,"Moses, according to tradition",Records events that likely occurred around either 1446  BC  or 1270  BC,The Israelites had been established as God’s covenant people and were camped at the foot of Mount Sinai
The Book of Numbers,To document the transition from the unfaithful generation who left Egypt to the generation who would enter the Promised Land,"Moses, according to tradition",Records events that likely occurred around either 1445–1406  BC  or 1269–1230  BC,"The book begins with the Israelites at Sinai, traces their journey through the wilderness, and closes with them in the plains of Moab at the doorstep of the Promised Land"
The Book of Deuteronomy,To reiterate and expand on the covenant prior to Moses’ death and the people’s entry into the Promised Land,"Moses, according to tradition",Likely either 1406  BC  or 1230  BC,"The Israelites are on the verge of entering the Promised Land, and Moses is nearing the end of his life"
The Book of Joshua,To recount Israel’s conquest of the Promised Land,Unknown,Records events that likely occurred in either 1406–1376  BC  or 1230–1200  BC,Begins with the Israelites about to cross the Jordan and ends with their new land having been distributed
The Book of Judges,To describe the period of the judges and to present a case for an Israelite monarchy,Unknown,Records events that occurred in either 1376–1050  BC  or 1200–1050  BC,Israel was failing to fully conquer the Promised Land and faced repeated oppression from enemies
The Book of Ruth,To tell the inspiring story of Ruth and to trace the background of King David,Unknown,Records events that occurred around 1100  BC,"The period of the judges, during and immediately after a famine that had struck Bethlehem"
The First Book of Samuel,To recount the establishment of the Israelite monarchy and to highlight the differing character of Israel’s first two kings,Unknown,Records events that occurred around 1050–1011  BC,The transition from the period of the judges to the Israelite monarchy
The Second Book of Samuel,To describe the reign of David and to demonstrate God’s commitment to David’s line,Unknown,Records events that occurred around 1011–971  BC,"Following Saul’s death, David sought to establish his throne over all Israel and to expand Israelite territory"
The First Book of Kings,"To outline the glory of Solomon’s reign, the division of the kingdom, and the degradation of Israel",Unknown,Records events that occurred around 973–853  BC,Begins at the high point of the Israelite monarchy (Solomon’s reign) and ends with a divided kingdom and a low point in the Israelite monarchy (Ahab’s reign)
The Second Book of Kings,To clarify why both Israel and Judah were experiencing exile from the Promised Land,Unknown,Records events that occurred around 853–586  BC,"Continues the story from 1 Kings of the divided kingdom, ending with both kingdoms experiencing exile"
The First Book of Chronicles,To instill hope—largely by appeal to the Davidic promise—among Jews who had returned to their land but were living in subjugation,Unknown,"Likely written around 400  BC , largely recording events that occurred around 1011–971  BC","Judea had been resettled by Jews following the Exile, but these Jews were still living under foreign (Persian) rule; the account essentially traces the reign of David"
The Second Book of Chronicles,To give readers hope for a restored kingdom of Israel characterized by proper worship,Unknown,"Likely written around 400  BC , recording events that occurred around 971–538  BC",Postexilic Judea during Persian rule; the account begins with the reign of Solomon and ends with Cyrus’s proclamation allowing the people to return to Judea
The Book of Ezra,"To demonstrate God’s continued provision for his people and to show how to live when faced with foreign control, opposition, and pagan influence","Ezra, according to tradition",Records events that occurred around 538–457  BC,"Jerusalem, beginning with the initial return of Jews from exile and ending with Ezra’s arrival there"
The Book of Nehemiah,To recount the reconstruction of Jerusalem’s walls and to demonstrate God’s faithfulness to those dedicated to him,"Ezra, according to tradition",Records events that occurred around 445–430  BC,"Jerusalem, approximately fifteen years after Ezra had arrived"
